track,raw_feature,model_feature,stage,decision
LAB_AWARE,Âge (Age),Âge (Age),T0_intake,pre_lab
LAB_AWARE,Poids (Weight),Poids (Weight),T0_intake,pre_lab
LAB_AWARE,Poids (Weight),Poids (Weight)__missing,T0_intake,pre_lab
LAB_AWARE,Circonference du bras (Mua circumference),Circonference du bras (Mua circumference),T0_intake,pre_lab
LAB_AWARE,"Haute température.(temperature, Hyperpyrexia)","Haute température.(temperature, Hyperpyrexia)",T0_intake,pre_lab
LAB_AWARE,Fièvre depuis 48 heures(Fever 48 hrs),Fièvre depuis 48 heures(Fever 48 hrs),T0_intake,pre_lab
LAB_AWARE,Fièvre au cours des 7 derniers jours (Fever in the last 7 days),Fièvre au cours des 7 derniers jours (Fever in the last 7 days),T0_intake,pre_lab
LAB_AWARE,Type de fièvre (Type of Fever),Type de fièvre (Type of Fever),T0_intake,pre_lab
LAB_AWARE,Perte de poids (Loss of Weight),Perte de poids (Loss of Weight),T0_intake,pre_lab
LAB_AWARE,Maux de tête (headache),Maux de tête (headache),T0_intake,pre_lab
LAB_AWARE,Nausée (Nausea),Nausée (Nausea),T0_intake,pre_lab
LAB_AWARE,Vomissement (Vomiting),Vomissement (Vomiting),T0_intake,pre_lab
LAB_AWARE,Douleur articulaire (Joint pain),Douleur articulaire (Joint pain),T0_intake,pre_lab
LAB_AWARE,Gonflement des articulations (Joint Swelling),Gonflement des articulations (Joint Swelling),T0_intake,pre_lab
LAB_AWARE,Douleur musculaire ( Muscle pain),Douleur musculaire ( Muscle pain),T0_intake,pre_lab
LAB_AWARE,Douleur Thoracique (Chaist pain),Douleur Thoracique (Chaist pain),T0_intake,pre_lab
LAB_AWARE,Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),T0_intake,pre_lab
LAB_AWARE,Troubles de la conscience (Consciousness trouble),Troubles de la conscience (Consciousness trouble),T0_intake,pre_lab
LAB_AWARE,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),T0_intake,pre_lab
LAB_AWARE,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),Éruptions cutanées ou Exanthème (Skin rash or Exanthema),T0_intake,pre_lab
LAB_AWARE,Éruption morbilliforme (Morbilliform rash),Éruption morbilliforme (Morbilliform rash),T0_intake,pre_lab
LAB_AWARE,Saignement/ Manifestations hémorragiques (Bleeding),Saignement/ Manifestations hémorragiques (Bleeding),T0_intake,pre_lab
LAB_AWARE,Rhinorrhée (Rhinorrhea),Rhinorrhée (Rhinorrhea),T0_intake,pre_lab
LAB_AWARE,Somnolence ou léthargie  (Drowsiness or lethargy),Somnolence ou léthargie  (Drowsiness or lethargy),T0_intake,pre_lab
LAB_AWARE,Vertige (Dizzy),Vertige (Dizzy),T0_intake,pre_lab
LAB_AWARE,Douleur abdominale (stomac pain),Douleur abdominale (stomac pain),T0_intake,pre_lab
LAB_AWARE,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),T0_intake,pre_lab
LAB_AWARE,Mal de gorge (throat pain),Mal de gorge (throat pain),T0_intake,pre_lab
LAB_AWARE,Toux (Cough),Toux (Cough),T0_intake,pre_lab
LAB_AWARE,Diarrhée  (Diarrhea),Diarrhée  (Diarrhea),T0_intake,pre_lab
LAB_AWARE,Douleur rétro-orbitrale (Retro-orbital pain),Douleur rétro-orbitrale (Retro-orbital pain),T0_intake,pre_lab
LAB_AWARE,Céphalée (Headache),Céphalée (Headache),T0_intake,pre_lab
LAB_AWARE,Sensation de frissons ou de froid (Shiver or cold sensation),Sensation de frissons ou de froid (Shiver or cold sensation),T0_intake,pre_lab
