label,feature,importance_mean,importance_std
malaria,Choc septique (Shock),0.0,0.0
malaria,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),0.0,0.0
malaria,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),0.0,0.0
malaria,Choc septique (Septicemia),0.0,0.0
malaria,Syndrome d'icterus subaigu (Sub-icterus),0.0,0.0
malaria,Lymphadénopathie / Lymphadenopa thy,0.0,0.0
malaria,bp_parse_failed,0.0,0.0
malaria,Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),0.0,0.0
malaria,Drépanocytose,0.0,0.0
malaria,Arthrose,0.0,0.0
malaria,Asthme (Astma),0.0,0.0
malaria,Dengue dans le menage (Household Dengue),0.0,0.0
malaria,Hypoglycémie (Hypoglycemia),-1e-05,0.00107
malaria,Pneumonie (Pneumonia),-2e-05,0.00022
malaria,Détresse respiratoire (Respiratory distress),-8e-05,0.00081
malaria,Délire,-0.00015,0.00182
malaria,bp_systolic,-0.00015,0.00043
malaria,Circonference du bras (Mua circumference),-0.00018,0.00038
malaria,Hypertension artérielle,-0.00019,0.00076
malaria,Maux de tête (headache),-0.00021,0.00052
malaria,bp__missing,-0.00023,0.0017
malaria,Mal de gorge (throat pain),-0.00025,0.00034
malaria,Rhinorrhée (Rhinorrhea),-0.00028,0.00067
malaria,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,-0.00037,0.00163
malaria,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,-0.00057,0.00101
malaria,Diarrhée  (Diarrhea),-0.00066,0.00034
malaria,Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),-0.00089,0.00026
malaria,Fièvre au cours des 7 derniers jours (Fever in the last 7 days),-0.00178,0.00631
malaria,Poids (Weight),-0.00219,0.0019
malaria,Vertige (Dizzy),-0.00219,0.00057
malaria,gender_female,-0.00302,0.00209
malaria,Poids (Weight)__missing,-0.00302,0.00236
malaria,Céphalée (Headache),-0.00327,0.00461
malaria,center_code,-0.0096,0.00676
other_diseases,autres_maladies_pr_sent_es_par_le_patien__present,0.39608,0.05877
other_diseases,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),0.00209,0.00039
other_diseases,Hypertension artérielle,0.00197,0.00114
other_diseases,Maux de tête (headache),0.00188,0.00114
other_diseases,Fièvre depuis 48 heures(Fever 48 hrs),0.00144,0.00117
other_diseases,center_code,0.0013,0.0006
other_diseases,Drépanocytose,0.00095,0.0
